experiment,pipeline,seed,shift_type,severity,rotation_deg,noise_std,loss,auroc,accuracy,balanced_accuracy,precision,recall,f1,threshold,n_samples,auroc_drop_from_clean,accuracy_drop_from_clean,balanced_accuracy_drop_from_clean,precision_drop_from_clean,recall_drop_from_clean,f1_drop_from_clean
voxel_robust_tta,voxel,42,clean,0.0,0.0,0.0,0.5499159048000971,0.9493036976058173,0.9240837696335078,0.8150854085202717,0.6590909090909091,0.6744186046511628,0.6666666666666666,0.8499999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
voxel_robust_tta,voxel,42,rotation,15.0,15.0,0.0,0.4675268083810806,0.9451190231186115,0.9397905759162304,0.7528641009809975,0.9166666666666666,0.5116279069767442,0.6567164179104478,0.8499999999999999,382,0.004184674487205831,-0.015706806282722585,0.06222130753927413,-0.25757575757575757,0.16279069767441856,0.00995024875621886
voxel_robust_tta,voxel,42,rotation,30.0,30.0,0.0,0.5065518965323766,0.9362008643753859,0.9293193717277487,0.6961994923509638,0.9444444444444444,0.3953488372093023,0.5573770491803278,0.8499999999999999,382,0.013102833230431488,-0.005235602094240899,0.11888591616930788,-0.28535353535353536,0.27906976744186046,0.10928961748633881
voxel_robust_tta,voxel,42,rotation,45.0,45.0,0.0,0.5299484928448995,0.9270769019688551,0.9162303664921466,0.6380599574672429,0.9230769230769231,0.27906976744186046,0.42857142857142855,0.8499999999999999,382,0.022226795636962282,0.007853403141361182,0.1770254510530288,-0.26398601398601407,0.3953488372093023,0.23809523809523808
voxel_robust_tta,voxel,42,noise,0.03,0.0,0.03,0.6811099052429199,0.9466282499828498,0.8926701570680629,0.8379982163682513,0.515625,0.7674418604651163,0.616822429906542,0.8499999999999999,382,0.002675447622967564,0.03141361256544495,-0.022912807847979666,0.14346590909090906,-0.09302325581395354,0.049844236760124616
voxel_robust_tta,voxel,42,noise,0.06,0.0,0.06,0.91830642024676,0.9403855388625917,0.8167539267015707,0.8358372779035467,0.36633663366336633,0.8604651162790697,0.5138888888888888,0.8499999999999999,382,0.008918158743225657,0.10732984293193715,-0.020751869383275,0.29275427542754273,-0.18604651162790697,0.1527777777777778
voxel_robust_tta,voxel,42,noise,0.1,0.0,0.1,1.3875928098956745,0.9415517596213212,0.6780104712041884,0.8185840707964602,0.25903614457831325,1.0,0.41148325358851673,0.8499999999999999,382,0.007751937984496138,0.24607329842931935,-0.0034986622761885577,0.4000547645125958,-0.32558139534883723,0.2551834130781499
point_robust_xyzI_512_tta,point,42,clean,0.0,0.0,0.0,0.9972775330146154,0.8444124305412637,0.643979057591623,0.7384921451601838,0.2215568862275449,0.8604651162790697,0.3523809523809524,0.6399999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
point_robust_xyzI_512_tta,point,42,rotation,15.0,15.0,0.0,0.9661657214164734,0.8374837072099884,0.6596858638743456,0.7371887219592509,0.22641509433962265,0.8372093023255814,0.3564356435643564,0.6399999999999999,382,0.006928723331275255,-0.015706806282722585,0.0013034232009329072,-0.004858208112077739,0.023255813953488302,-0.004054691183404013
point_robust_xyzI_512_tta,point,42,rotation,30.0,30.0,0.0,0.9880516032377878,0.8241750703162516,0.6701570680628273,0.7329354462509432,0.22875816993464052,0.813953488372093,0.35714285714285715,0.6399999999999999,382,0.020237360225012102,-0.02617801047120427,0.005556698909240598,-0.007201283707095607,0.046511627906976716,-0.004761904761904745
point_robust_xyzI_512_tta,point,42,rotation,45.0,45.0,0.0,1.0308016339937847,0.7743019825752898,0.6596858638743456,0.7168827605131372,0.21935483870967742,0.7906976744186046,0.3434343434343434,0.6399999999999999,382,0.07011044796597388,-0.015706806282722585,0.021609384647046648,0.0022020475178674837,0.06976744186046513,0.00894660894660898
point_robust_xyzI_512_tta,point,42,noise,0.03,0.0,0.03,1.0073424031337102,0.8385127255265143,0.5837696335078534,0.7248748027714893,0.20103092783505155,0.9069767441860465,0.3291139240506329,0.6399999999999999,382,0.005899705014749346,0.060209424083769614,0.013617342388694498,0.020525958392493354,-0.046511627906976716,0.023267028330319517
point_robust_xyzI_512_tta,point,42,noise,0.06,0.0,0.06,0.8609491735696793,0.8400905536118543,0.6570680628272252,0.7255608149825067,0.22151898734177214,0.813953488372093,0.3482587064676617,0.6399999999999999,382,0.004321876929409441,-0.013089005235602191,0.012931330177677114,3.789888577276912e-05,0.046511627906976716,0.00412224591329069
point_robust_xyzI_512_tta,point,42,noise,0.1,0.0,0.1,0.7518619497617086,0.8463332647321122,0.7591623036649214,0.7729299581532552,0.2905982905982906,0.7906976744186046,0.425,0.6399999999999999,382,-0.0019208341908485416,-0.11518324607329844,-0.03443781299307136,-0.06904140437074571,0.06976744186046513,-0.07261904761904758
